code,status,name,latitude,longitude,altitude,installation_height,timezone
TA00084,1,Bol Matafo,13.5028611,14.6928056,285.0,2.0,Africa/Ndjamena
TA00085,1,N'Djamena Airport,12.1385,15.0455833,290.2,2.0,Africa/Ndjamena
TA00088,1,Kin Kin Village,11.568833,15.209333,314.2,2.0,Africa/Ndjamena
TA00089,1,Somo,13.2418111,-4.7839194,282.0,2.0,Africa/Abidjan
TA00090,1,Boutenisso,13.3297778,-4.7338333,287.0,2.0,Africa/Abidjan
TA00092,1,Bolimasso,13.2869469,-4.6221486,297.0,2.0,Africa/Abidjan
TA00093,1,N'goutjina,12.2975389,-5.4766694,409.0,2.0,Africa/Abidjan
TA00094,1,Finkoloni,12.2622194,-5.4927806,404.0,2.0,Africa/Abidjan
TA00096,1,Siramana,11.5930132,-5.7144108,350.2,2.0,Africa/Abidjan
TA00098,1,GMet HQ,5.652019933,-0.16446233,71.6,2.0,Africa/Accra
TA00101,1,Unimaid WS2,11.81004,13.20978,324.1,2.0,Africa/Lagos
TA00102,1,Unimaid WS2,11.81004,13.20978,324.1,2.0,Africa/Lagos
TA00103,1,AIM UKZN,-29.6277778,30.402861,673.0,2.0,Africa/Johannesburg
TA00107,1,Marsing School Idaho,43.543203,-116.814314,701.0,2.0,America/New_York
TA00108,1,Nzukini Secondary School,-0.991916183,37.50728828,1141.1,2.0,Africa/Nairobi
TA00109,1,Breman Asikuma SHS,5.592651,-0.996417,90.0,2.0,Africa/Accra
TA00110,1,Foso College of Education,5.682642,-1.265018,154.2,2.0,Africa/Accra
TA00111,1,HOHOE E.P. SHS,7.170037,0.468797,180.3,2.0,Africa/Accra
TA00112,1,Oti Senior High Tech.,8.049376,0.191168,136.0,2.0,Africa/Accra
TA00113,1,Nkwanta SHS,8.271124,0.515265,213.7,2.0,Africa/Accra
TA00114,1,Bueman SHS,7.4220304,0.46262329,216.0,2.0,Africa/Accra
TA00115,1,Kpeve Senior High Tech.,6.676471,0.327794,156.4,2.0,Africa/Accra
TA00116,1,Amedzofe Technical Institute,6.845815,0.440698,731.8,2.0,Africa/Accra
TA00117,1,Keta SHS,5.895083,0.989567,10.0,2.0,Africa/Accra
TA00118,1,Tema Secondary School,5.641413,-0.01187,18.4,2.0,Africa/Accra
TA00119,1,Elubo,5.16120947,-2.641400593,43.9,2.0,Africa/Accra
TA00120,1,Nkroful Agric SHS,4.971861,-2.322676,28.0,2.0,Africa/Accra
TA00121,1,Half Assini SHS,5.053207,-2.877294,14.0,2.0,Africa/Accra
TA00122,1,Amenfiman SHS,5.778639,-2.090195,71.1,2.0,Africa/Accra
TA00123,1,Boa Amponsem SHS,5.963177,-1.792334,144.0,2.0,Africa/Accra
TA00124,1,Church of Christ SHS,5.5675292,-1.694181,113.0,2.0,Africa/Accra
TA00125,1,Twifo Praso SHS,5.615883,-1.579706,107.0,2.0,Africa/Accra
TA00126,1,Berekuso - Ashesi Unversity,5.758029,-0.221716,330.0,2.6,Africa/Accra
TA00127,1,St. John's Grammar,5.6383744,-0.2447151,46.0,2.6,Africa/Accra
TA00129,1,Timbila High School,-3.390926173,37.71765619,755.3,2.0,Africa/Nairobi
TA00130,1,Our Lady of Perpetuah Girls Secondary school,-3.4976,38.585934,1153.9,2.0,Africa/Nairobi
TA00131,1,Shimo la Tewa School,-3.960327,39.744076,7.8,2.0,Africa/Nairobi
TA00132,1,Ganze Boys Secondary,-3.551352,39.695029,165.0,2.0,Africa/Nairobi
TA00133,1,Mkunumbi Secondary School,-2.29839,40.694046,5.0,2.0,Africa/Nairobi
TA00135,1,CEG Davie (Porto Novo),6.481662,2.635929,24.0,2.0,Africa/Lagos
